op,T,n,median_us,p25_us,p75_us,min_us,max_us
keygen,256,5,19421.49,18470.95,22154.57,14975.63,23867.48
sign,256,1000,208.10,131.30,353.90,68.65,9689.22
verify,256,1000,67.51,61.46,126.06,46.15,3119.69
evolve,256,200,47.87,45.57,52.41,35.80,640.89
keygen,1024,5,81044.95,76574.40,84756.72,71813.25,92304.69
sign,1024,1000,207.51,131.04,353.77,68.45,3366.82
verify,1024,1000,67.46,59.45,88.84,46.36,2412.04
evolve,1024,200,100.85,96.27,108.42,89.17,9066.69
keygen,4096,3,371100.36,369841.15,397700.80,369841.15,397700.80
sign,4096,1000,201.79,125.99,360.38,68.93,9628.43
verify,4096,1000,68.85,60.78,80.70,47.19,3943.32
evolve,4096,200,52.39,47.54,60.03,36.06,980.78
keygen,16384,3,1556239.46,1518636.82,1657866.43,1518636.82,1657866.43
sign,16384,1000,211.10,126.49,371.83,70.19,8702.36
verify,16384,1000,68.55,60.70,87.64,48.89,2686.36
evolve,16384,200,48.88,42.74,54.60,37.05,443.19
keygen,65536,3,5875366.62,5660693.57,6453943.98,5660693.57,6453943.98
sign,65536,1000,208.90,127.06,358.23,68.57,6990.83
verify,65536,1000,73.62,62.99,84.75,47.62,1609.01
evolve,65536,200,62.80,49.32,116.57,33.51,691.37
keygen,262144,1,24153858.31,24153858.31,24153858.31,24153858.31,24153858.31
sign,262144,1000,188.49,123.21,344.10,66.67,3863.50
verify,262144,1000,69.02,62.96,79.03,47.79,2473.15
evolve,262144,200,47.80,42.63,55.22,34.85,1452.01
keygen,1048576,1,95015167.54,95015167.54,95015167.54,95015167.54,95015167.54
sign,1048576,1000,200.42,121.95,355.89,77.56,6830.85
verify,1048576,1000,84.75,67.19,104.75,57.18,2405.83
evolve,1048576,200,47.76,45.15,50.99,36.66,4065.99
ALL_FIGDATA_DONE
