n_records,rep,total_s,per_record_us
1024,0,0.095,92.37
1024,1,0.086,83.77
1024,2,0.129,126.21
2048,0,0.181,88.30
2048,1,0.217,106.08
2048,2,0.204,99.59
4096,0,0.407,99.47
4096,1,0.349,85.09
4096,2,0.358,87.48
8192,0,0.793,96.83
8192,1,0.771,94.11
8192,2,0.789,96.32
16384,0,1.544,94.21
16384,1,1.409,85.97
16384,2,1.710,104.37
32768,0,3.237,98.78
32768,1,3.468,105.84
32768,2,4.337,132.37
65536,0,7.025,107.19
65536,1,6.858,104.64
65536,2,6.797,103.71
131072,0,13.061,99.65
131072,1,13.210,100.78
131072,2,13.039,99.48
262144,0,24.407,93.11
262144,1,25.281,96.44
262144,2,26.003,99.19
524288,0,48.750,92.98
524288,1,49.207,93.86
524288,2,49.904,95.18
1048576,0,110.162,105.06
1048576,1,104.979,100.12
1048576,2,103.572,98.77
