batch,rep,total_us,throughput_sps
1,0,520.2,1922.2
1,1,882.0,1133.8
1,2,168.8,5922.7
1,3,323.7,3089.2
1,4,277.5,3603.9
1,5,167.3,5977.0
1,6,477.8,2093.1
10,0,5151.5,1941.2
10,1,5536.2,1806.3
10,2,2810.0,3558.7
10,3,5331.9,1875.5
10,4,3845.8,2600.2
10,5,5142.5,1944.6
10,6,3332.7,3000.6
100,0,52731.6,1896.4
100,1,67764.1,1475.7
100,2,54654.4,1829.7
100,3,46766.8,2138.3
100,4,62083.2,1610.7
100,5,53520.2,1868.5
100,6,45671.0,2189.6
1000,0,782285.9,1278.3
1000,1,422429.9,2367.3
1000,2,349343.3,2862.5
1000,3,334288.4,2991.4
1000,4,311449.0,3210.8
1000,5,353592.4,2828.1
1000,6,369675.5,2705.1
10000,0,4177857.3,2393.6
10000,1,4328095.2,2310.5
10000,2,4046711.2,2471.1
10000,3,5573850.6,1794.1
10000,4,5304931.2,1885.0
10000,5,4193920.2,2384.4
10000,6,4239015.9,2359.0
