batch,rep,total_us,throughput_sps
1,0,243.2,4112.6
1,1,927.5,1078.2
1,2,522.4,1914.1
1,3,665.0,1503.9
1,4,921.0,1085.8
1,5,624.4,1601.5
1,6,227.2,4402.1
10,0,2270.9,4403.5
10,1,3011.1,3321.1
10,2,2025.3,4937.6
10,3,2024.9,4938.5
10,4,8486.8,1178.3
10,5,6251.3,1599.7
10,6,5843.9,1711.2
100,0,31455.1,3179.1
100,1,24685.6,4050.9
100,2,30605.6,3267.4
100,3,26028.4,3842.0
100,4,33644.9,2972.2
100,5,30527.9,3275.7
100,6,29534.9,3385.8
1000,0,333964.3,2994.3
1000,1,283184.7,3531.3
1000,2,340301.1,2938.6
1000,3,342467.7,2920.0
1000,4,327689.5,3051.7
1000,5,332509.3,3007.4
1000,6,288656.4,3464.3
10000,0,3253513.0,3073.6
10000,1,3168946.2,3155.6
10000,2,3065337.0,3262.3
10000,3,3243141.5,3083.4
10000,4,3242064.1,3084.5
10000,5,3115244.4,3210.0
10000,6,3136347.2,3188.4
