scheme,d,rep,verify_us
rechain,0,0,91.77
rechain,0,1,73.12
rechain,0,2,91.08
rechain,0,3,45.75
rechain,0,4,58.50
rechain,0,5,46.81
rechain,0,6,46.74
rechain,0,7,46.35
rechain,0,8,46.48
rechain,0,9,47.31
rechain,0,10,48.03
rechain,0,11,47.74
rechain,0,12,48.38
rechain,0,13,47.66
rechain,0,14,50.60
rechain,0,15,50.53
rechain,0,16,61.25
rechain,0,17,49.55
rechain,0,18,50.06
rechain,0,19,50.44
rechain,0,20,51.00
rechain,0,21,53.52
rechain,0,22,60.48
rechain,0,23,51.63
rechain,0,24,52.68
rechain,0,25,351.62
rechain,0,26,59.01
rechain,0,27,58.16
rechain,0,28,75.19
rechain,0,29,53.86
rechain,0,30,79.71
rechain,0,31,103.61
rechain,0,32,47.97
rechain,0,33,62.82
rechain,0,34,77.76
rechain,0,35,92.50
rechain,0,36,55.07
rechain,0,37,102.05
rechain,0,38,76.94
rechain,0,39,78.54
rechain,0,40,85.08
rechain,0,41,100.45
rechain,0,42,68.20
rechain,0,43,71.23
rechain,0,44,75.90
rechain,0,45,76.11
rechain,0,46,119.03
rechain,0,47,94.02
rechain,0,48,216.58
rechain,0,49,41.72
rechain,0,50,40.91
rechain,0,51,69.30
rechain,0,52,69.44
rechain,0,53,58.60
rechain,0,54,57.89
rechain,0,55,54.07
rechain,0,56,54.63
rechain,0,57,51.15
rechain,0,58,51.44
rechain,0,59,53.53
rechain,0,60,51.54
rechain,0,61,51.56
rechain,0,62,51.56
rechain,0,63,51.45
rechain,0,64,51.57
rechain,0,65,60.87
rechain,0,66,51.16
rechain,0,67,50.59
rechain,0,68,50.72
rechain,0,69,50.79
rechain,0,70,52.74
rechain,0,71,51.29
rechain,0,72,51.05
rechain,0,73,50.70
rechain,0,74,50.76
rechain,0,75,51.37
rechain,0,76,51.80
rechain,0,77,51.95
rechain,0,78,346.57
rechain,0,79,71.43
rechain,0,80,58.72
rechain,0,81,58.10
rechain,0,82,58.88
rechain,0,83,58.95
rechain,0,84,58.00
rechain,0,85,55.11
rechain,0,86,52.44
rechain,0,87,51.44
rechain,0,88,54.50
rechain,0,89,50.82
rechain,0,90,60.80
rechain,0,91,50.13
rechain,0,92,49.75
rechain,0,93,50.21
rechain,0,94,50.23
rechain,0,95,49.79
rechain,0,96,51.27
rechain,0,97,50.52
rechain,0,98,50.80
rechain,0,99,50.25
rechain,1,0,155.76
rechain,1,1,154.68
rechain,1,2,156.11
rechain,1,3,155.12
rechain,1,4,156.38
rechain,1,5,163.53
rechain,1,6,147.88
rechain,1,7,148.68
rechain,1,8,148.78
rechain,1,9,149.24
rechain,1,10,149.21
rechain,1,11,173.55
rechain,1,12,164.20
rechain,1,13,158.25
rechain,1,14,174.54
rechain,1,15,165.78
rechain,1,16,178.19
rechain,1,17,169.23
rechain,1,18,217.67
rechain,1,19,221.65
rechain,1,20,1619.83
rechain,1,21,155.60
rechain,1,22,151.30
rechain,1,23,145.80
rechain,1,24,151.46
rechain,1,25,161.81
rechain,1,26,175.85
rechain,1,27,191.18
rechain,1,28,176.80
rechain,1,29,190.98
rechain,1,30,186.45
rechain,1,31,823.32
rechain,1,32,166.85
rechain,1,33,247.61
rechain,1,34,140.53
rechain,1,35,199.42
rechain,1,36,129.47
rechain,1,37,128.54
rechain,1,38,131.74
rechain,1,39,141.41
rechain,1,40,142.33
rechain,1,41,145.48
rechain,1,42,142.76
rechain,1,43,155.25
rechain,1,44,158.39
rechain,1,45,165.07
rechain,1,46,184.25
rechain,1,47,189.11
rechain,1,48,188.67
rechain,1,49,200.59
rechain,1,50,192.09
rechain,1,51,188.80
rechain,1,52,186.21
rechain,1,53,1486.66
rechain,1,54,159.28
rechain,1,55,145.04
rechain,1,56,142.46
rechain,1,57,153.15
rechain,1,58,155.20
rechain,1,59,161.61
rechain,1,60,162.45
rechain,1,61,171.99
rechain,1,62,180.02
rechain,1,63,191.60
rechain,1,64,170.76
rechain,1,65,190.97
rechain,1,66,197.57
rechain,1,67,179.69
rechain,1,68,185.16
rechain,1,69,187.48
rechain,1,70,179.20
rechain,1,71,179.90
rechain,1,72,181.73
rechain,1,73,178.65
rechain,1,74,185.68
rechain,1,75,174.60
rechain,1,76,183.81
rechain,1,77,175.88
rechain,1,78,173.43
rechain,1,79,174.70
rechain,1,80,177.84
rechain,1,81,185.34
rechain,1,82,174.06
rechain,1,83,184.94
rechain,1,84,173.92
rechain,1,85,168.83
rechain,1,86,176.62
rechain,1,87,175.58
rechain,1,88,174.30
rechain,1,89,178.40
rechain,1,90,173.87
rechain,1,91,168.94
rechain,1,92,169.66
rechain,1,93,169.97
rechain,1,94,169.21
rechain,1,95,567.80
rechain,1,96,140.51
rechain,1,97,139.94
rechain,1,98,144.99
rechain,1,99,151.58
rechain,2,0,218.15
rechain,2,1,211.29
rechain,2,2,249.92
rechain,2,3,250.25
rechain,2,4,271.32
rechain,2,5,278.58
rechain,2,6,289.53
rechain,2,7,287.94
rechain,2,8,641.78
rechain,2,9,191.73
rechain,2,10,224.89
rechain,2,11,288.52
rechain,2,12,1770.36
rechain,2,13,212.71
rechain,2,14,212.33
rechain,2,15,188.20
rechain,2,16,378.22
rechain,2,17,409.92
rechain,2,18,211.29
rechain,2,19,196.32
rechain,2,20,185.57
rechain,2,21,200.44
rechain,2,22,208.33
rechain,2,23,216.79
rechain,2,24,539.77
rechain,2,25,176.06
rechain,2,26,186.95
rechain,2,27,190.42
rechain,2,28,216.58
rechain,2,29,201.34
rechain,2,30,219.15
rechain,2,31,246.30
rechain,2,32,222.49
rechain,2,33,237.50
rechain,2,34,241.45
rechain,2,35,254.42
rechain,2,36,247.20
rechain,2,37,264.92
rechain,2,38,257.14
rechain,2,39,244.39
rechain,2,40,256.79
rechain,2,41,237.46
rechain,2,42,236.93
rechain,2,43,236.04
rechain,2,44,233.06
rechain,2,45,236.94
rechain,2,46,241.13
rechain,2,47,235.05
rechain,2,48,241.11
rechain,2,49,224.08
rechain,2,50,224.31
rechain,2,51,721.11
rechain,2,52,210.87
rechain,2,53,204.87
rechain,2,54,265.39
rechain,2,55,283.69
rechain,2,56,290.94
rechain,2,57,394.25
rechain,2,58,303.47
rechain,2,59,779.93
rechain,2,60,266.15
rechain,2,61,229.78
rechain,2,62,220.39
rechain,2,63,225.24
rechain,2,64,2295.89
rechain,2,65,1705.79
rechain,2,66,194.38
rechain,2,67,194.61
rechain,2,68,208.99
rechain,2,69,203.20
rechain,2,70,225.45
rechain,2,71,234.23
rechain,2,72,245.95
rechain,2,73,237.03
rechain,2,74,243.37
rechain,2,75,359.75
rechain,2,76,264.21
rechain,2,77,259.64
rechain,2,78,255.24
rechain,2,79,259.88
rechain,2,80,270.13
rechain,2,81,261.33
rechain,2,82,274.16
rechain,2,83,257.49
rechain,2,84,256.80
rechain,2,85,260.48
rechain,2,86,254.00
rechain,2,87,254.37
rechain,2,88,253.45
rechain,2,89,258.11
rechain,2,90,240.22
rechain,2,91,270.20
rechain,2,92,252.77
rechain,2,93,239.15
rechain,2,94,233.96
rechain,2,95,238.02
rechain,2,96,241.27
rechain,2,97,243.07
rechain,2,98,239.72
rechain,2,99,248.80
rechain,4,0,363.15
rechain,4,1,363.68
rechain,4,2,546.54
rechain,4,3,381.68
rechain,4,4,317.30
rechain,4,5,325.39
rechain,4,6,344.69
rechain,4,7,377.60
rechain,4,8,400.40
rechain,4,9,416.24
rechain,4,10,424.42
rechain,4,11,445.13
rechain,4,12,712.63
rechain,4,13,501.65
rechain,4,14,319.29
rechain,4,15,385.89
rechain,4,16,330.92
rechain,4,17,297.19
rechain,4,18,305.97
rechain,4,19,322.00
rechain,4,20,374.30
rechain,4,21,917.09
rechain,4,22,395.66
rechain,4,23,378.80
rechain,4,24,371.64
rechain,4,25,362.43
rechain,4,26,373.42
rechain,4,27,367.39
rechain,4,28,363.13
rechain,4,29,382.08
rechain,4,30,370.15
rechain,4,31,382.26
rechain,4,32,387.61
rechain,4,33,393.90
rechain,4,34,397.75
rechain,4,35,384.37
rechain,4,36,375.50
rechain,4,37,362.61
rechain,4,38,393.98
rechain,4,39,275.60
rechain,4,40,325.15
rechain,4,41,534.61
rechain,4,42,536.91
rechain,4,43,359.59
rechain,4,44,349.85
rechain,4,45,336.59
rechain,4,46,328.65
rechain,4,47,324.13
rechain,4,48,347.08
rechain,4,49,403.52
rechain,4,50,1545.69
rechain,4,51,312.50
rechain,4,52,1734.09
rechain,4,53,363.04
rechain,4,54,815.44
rechain,4,55,331.58
rechain,4,56,334.95
rechain,4,57,311.77
rechain,4,58,332.91
rechain,4,59,351.87
rechain,4,60,296.23
rechain,4,61,293.96
rechain,4,62,325.89
rechain,4,63,337.19
rechain,4,64,355.83
rechain,4,65,385.48
rechain,4,66,376.57
rechain,4,67,394.92
rechain,4,68,373.68
rechain,4,69,386.80
rechain,4,70,390.90
rechain,4,71,372.31
rechain,4,72,381.90
rechain,4,73,369.70
rechain,4,74,2089.61
rechain,4,75,333.58
rechain,4,76,336.37
rechain,4,77,345.85
rechain,4,78,346.23
rechain,4,79,373.73
rechain,4,80,1350.62
rechain,4,81,434.49
rechain,4,82,352.65
rechain,4,83,496.78
rechain,4,84,1208.09
rechain,4,85,1440.00
rechain,4,86,800.63
rechain,4,87,796.98
rechain,4,88,766.22
rechain,4,89,809.29
rechain,4,90,788.33
rechain,4,91,802.98
rechain,4,92,795.62
rechain,4,93,840.59
rechain,4,94,764.97
rechain,4,95,1803.19
rechain,4,96,804.01
rechain,4,97,1136.39
rechain,4,98,1111.33
rechain,4,99,1036.00
rechain,8,0,1134.46
rechain,8,1,529.67
rechain,8,2,541.61
rechain,8,3,593.72
rechain,8,4,625.06
rechain,8,5,728.51
rechain,8,6,701.98
rechain,8,7,483.11
rechain,8,8,584.55
