scheme,d,rep,verify_us
rechain,1,0,242.68
rechain,1,1,247.31
rechain,1,2,313.05
rechain,1,3,280.50
rechain,1,4,146.77
rechain,1,5,146.78
rechain,1,6,147.00
rechain,1,7,155.51
rechain,1,8,308.29
rechain,1,9,572.16
rechain,1,10,653.72
rechain,1,11,179.33
rechain,1,12,160.96
rechain,1,13,153.24
rechain,1,14,140.05
rechain,1,15,139.56
rechain,1,16,150.04
rechain,1,17,150.10
rechain,1,18,145.74
rechain,1,19,155.16
rechain,1,20,152.36
rechain,1,21,149.63
rechain,1,22,165.68
rechain,1,23,171.02
rechain,1,24,164.73
rechain,1,25,218.62
rechain,1,26,244.71
rechain,1,27,217.05
rechain,1,28,172.96
rechain,1,29,429.29
rechain,1,30,125.21
rechain,1,31,129.85
rechain,1,32,135.03
rechain,1,33,143.63
rechain,1,34,151.61
rechain,1,35,149.24
rechain,1,36,156.39
rechain,1,37,181.96
rechain,1,38,189.97
rechain,1,39,189.12
rechain,1,40,184.56
rechain,1,41,181.21
rechain,1,42,206.52
rechain,1,43,198.41
rechain,1,44,224.55
rechain,1,45,202.45
rechain,1,46,217.29
rechain,1,47,224.66
rechain,1,48,236.69
rechain,1,49,220.43
rechain,1,50,216.68
rechain,1,51,204.83
rechain,1,52,237.87
rechain,1,53,218.52
rechain,1,54,211.86
rechain,1,55,237.35
rechain,1,56,207.90
rechain,1,57,224.96
rechain,1,58,212.22
rechain,1,59,229.96
rechain,1,60,194.76
rechain,1,61,266.84
rechain,1,62,396.80
rechain,1,63,286.65
rechain,1,64,295.02
rechain,1,65,301.43
rechain,1,66,283.35
rechain,1,67,291.69
rechain,1,68,316.59
rechain,1,69,296.51
rechain,1,70,295.57
rechain,1,71,295.47
rechain,1,72,295.71
rechain,1,73,430.97
rechain,1,74,523.56
rechain,1,75,300.00
rechain,1,76,307.12
rechain,1,77,335.67
rechain,1,78,296.58
rechain,1,79,317.24
rechain,1,80,296.08
rechain,1,81,294.98
rechain,1,82,295.46
rechain,1,83,296.61
rechain,1,84,458.09
rechain,1,85,301.68
rechain,1,86,541.71
rechain,1,87,297.52
rechain,1,88,441.53
rechain,1,89,863.85
rechain,1,90,139.64
rechain,1,91,138.52
rechain,1,92,139.72
rechain,1,93,146.73
rechain,1,94,148.86
rechain,1,95,155.73
rechain,1,96,153.02
rechain,1,97,166.95
rechain,1,98,169.79
rechain,1,99,174.57
rechain,2,0,258.57
rechain,2,1,242.84
rechain,2,2,258.47
rechain,2,3,241.01
rechain,2,4,258.43
rechain,2,5,247.89
rechain,2,6,257.41
rechain,2,7,257.77
rechain,2,8,255.20
rechain,2,9,248.56
rechain,2,10,239.56
