op,T,reps,mean_us,std_us,median_us
keygen,256,5,53779.86,2639.30,53648.21
sign,256,1000,828.96,1511.37,277.75
verify,256,1000,157.38,599.61,66.94
evolve_avg,256,200,115.53,491.59,50.89
evolve_max,256,1,4093.02,0.00,4093.02
keygen,1024,5,218619.34,76669.05,170315.10
sign,1024,1000,833.30,1406.65,290.66
verify,1024,1000,362.16,1022.21,159.45
evolve_avg,1024,200,155.69,570.46,59.42
evolve_max,1024,1,4183.08,0.00,4183.08
keygen,1048576,1,204332144.35,0.00,204332144.35
sign,1048576,1000,944.18,1554.08,349.11
verify,1048576,1000,280.52,843.81,141.50
evolve_avg,1048576,200,63.59,26.52,60.81
evolve_max,1048576,1,317.68,0.00,317.68
# sizes: sig=3960 (T=2^8/2^10: 3960/4024), pk=68, sk_secrets~1333
