op,T,reps,mean_us,std_us,median_us
keygen,256,5,27733.99,13338.33,21071.86
sign,256,1000,474.41,451.48,329.24
verify,256,1000,205.12,200.61,156.49
evolve_avg,256,200,203.42,188.03,149.32
evolve_max,256,1,1301.74,0.00,1301.74
keygen,1024,5,162665.69,69642.65,165672.64
sign,1024,1000,525.06,524.72,358.89
verify,1024,1000,169.75,154.47,111.24
evolve_avg,1024,200,48.21,4.26,47.31
evolve_max,1024,1,86.82,0.00,86.82
keygen,65536,1,6583578.49,0.00,6583578.49
sign,65536,1000,562.92,452.45,430.99
verify,65536,1000,147.36,111.65,137.25
evolve_avg,65536,200,50.25,8.36,47.43
evolve_max,65536,1,85.76,0.00,85.76
# sizes: sig=3960 (T=2^8/2^10: 3960/4024), pk=68, sk_secrets~1333
