op,T,reps,mean_us,std_us,median_us
keygen,256,5,42846.63,7315.12,46619.21
sign,256,1000,765.36,1299.18,366.66
verify,256,1000,139.71,164.50,115.99
evolve_avg,256,200,136.73,73.64,125.01
evolve_max,256,1,969.25,0.00,969.25
keygen,1024,5,178429.50,12442.22,177077.97
sign,1024,1000,628.05,760.27,377.86
verify,1024,1000,176.02,401.83,117.07
evolve_avg,1024,200,139.31,170.92,108.87
evolve_max,1024,1,1465.45,0.00,1465.45
keygen,65536,1,13078738.91,0.00,13078738.91
sign,65536,1000,792.57,1426.16,378.06
verify,65536,1000,250.22,466.58,130.68
evolve_avg,65536,200,152.24,107.93,122.34
evolve_max,65536,1,1076.91,0.00,1076.91
# sizes: sig=5489 (T=2^8/2^10: 5489/5553), pk=68, sk_secrets~1333
